timestamp,label
1.1,F.I{
1.68,viio6
2.4,I
5.16,IV
5.78,V
6.5,I6
9.26,I
9.96,V6
10.48,I
12.3,vi6
12.94,ii(4)
13.56,V7
14.3,I}
15.52,{
16.7,V(64)
17.92,V
18.44,viio64
19.12,I6
19.72,iv6
20.24,V(4)/V
21.42,V/V
21.96,iv64
22.46,V65
23.2,V2
23.78,I6
26.28,IV
27.04,IV6
27.54,V(64)}
28.86,V
31.58,I{
32.16,viio6
32.82,I
35.26,IV
35.88,V
36.6,I6
40.1,viio6
40.7,I6
41.34,viio6
41.94,I6
42.5,V6/ii
43.14,ii(4)
43.68,viio
44.42,I}
45.7,{
46.86,V(64)
48.02,V
50.42,V/V
51.14,V65
53.9,I
54.78,viio6
55.2,I6
55.97,IV
56.34,V(64)
57.8,V7
58.9,I(94)}
60.86,I
63.68,{
64.58,viio6
65.32,I
67.68,IV
68.3,V
68.94,I6
71.26,I
71.9,V6
72.48,I
74.9,V64
75.46,V65
76.14,I}
77.38,{
78.48,V(64)
79.52,V7
80.12,V2
80.7,I6
81.32,I
81.82,V(4)/V
82.88,V/V
83.42,iv64
84.12,V65
84.64,V2
85.16,I6
87.8,IV
88.44,IV6
89.2,V(64)}
90.56,V
93.24,I{
93.86,viio6
94.46,I
96.7,IV
97.24,V
97.84,I6
100.56,viio6
101.08,I6
101.6,viio6
102.12,I6
102.83,vi6
103.1,ii(4)
103.86,viio
104.7,I}
106.02,{
107.24,V(64)
108.66,V
111.32,V/V
112.04,V65
114.58,I
115.37,viio6
115.62,I6
116.33,IV
116.58,V(64)
118.24,V7
119.64,I(974)}
121.0,I
123.78,V.I{
127.28,viio6(2)
128.4,viio6
130.8,V7
134.32,I(#2)}
135.34,I
136.82,I6{
138.14,ii65
139.9,viio7/V
140.46,V(64)
141.68,IV6
143.26,viio6/V
143.8,V65/IV
144.92,IV
145.42,ii6
146.08,V(64)
147.32,V7
148.58,I}{
151.28,I.I6
151.86,V2/vi
152.46,V65/ii
153.04,V7/ii
153.54,ii6
154.88,ii
155.44,IV64
155.98,V65
156.56,V7
157.14,I6
158.42,I
159.02,iii64
159.56,ii64(2)
160.06,ii64
160.72,viio
161.34,V7
161.98,vi
162.64,ii6
163.22,V(64)}
164.32,V
167.12,I{
167.78,viio6
168.6,I
170.96,IV
171.56,V
172.46,I6
175.08,I
178.04,vi6
178.66,viio6/V
179.28,V65
179.78,I}
181.46,{
182.64,V(64)
183.88,V
186.26,viio6/V
186.94,viio
189.56,I
190.2,V43
190.86,I6
191.44,IV
192.3,V(64)
193.78,V7
194.78,I(974)}
195.9,I
199.18,V.I{
202.28,viio6(2)
203.3,viio6
205.52,V7
208.86,I}
211.22,I6{
212.48,ii65
214.14,viio7/V
214.68,V(64)
215.74,IV6
217.32,viio6/V
217.82,I6
218.94,IV
219.46,ii6
220.0,V(64)
221.0,V7
222.3,I}{
224.76,I.I6
225.32,V2/iv
225.9,V65/ii
226.44,V7/ii
226.98,ii6
228.16,ii
228.72,IV64
229.22,V65
229.78,V7
230.36,I6
231.44,I
231.96,ii64
232.48,ii64(2)
232.98,ii64
233.58,viio
234.12,V
234.7,vi
235.34,ii6
236.08,V(64)}
237.28,V
239.86,I{
240.56,viio6
241.24,I
243.92,IV6
244.46,viio
245.04,I6
247.8,I
249.82,I6
250.92,V/V
251.44,V7
252.04,I}
253.44,{
254.52,I
255.7,V65
256.8,V43
257.08000000000004,I
257.36,V6
257.62,vi7
257.96,V
258.27,viio/V
258.6,V2
260.3,V6
261.8,viio7/V
263.12,V(64)
265.36,V7
266.36,I(974)}
267.72,I
268.82,{
269.92,V(64)
271.06,V
273.2,V
273.49,viio6
273.78,viio
276.3,I
277.02,viio6
277.54,I6
278.3,ii6
279.06,V(64)
280.34,V7
281.36,I}{
284.04,V7
285.16,I
288.08,V7
289.36,I
290.98,I6
292.64,V
294.78,V7
295.38,I(974)}
299.02,I
